hotel_id,hotel_name,hotel_rank,hotel_no_reviews,rating,review_date,review_content,excellent,very_good,average,poor,terrible,families,couples,solo,business,friends,room_id,complaint_flag,housekeeping_priority,cleaning_demand_score,dominant_guest_type,room_status,checkout_hour,estimated_cleaning_time
g294265-d299199,InterContinental Singapore,17.0,3102.0,5,2016-04-09,The rooms in the Intercontinental Hotel are beautiful  Subdued colors  perfect for restful evening after sightseeing all day  The lobby bar and Victoria Bar were great for appetizers and drinks before we went to the Gardens By the Bay light show  and also for casual dining after running around the city and gardens all day,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1000,0,Low,-724.5,couples,Clean,9,18
g294265-d299199,InterContinental Singapore,17.0,3102.0,5,2016-04-07,Really enjoyed every aspect of this hotel  The friendly staff and many nearby shopping food options made for an extremely convenient stay  The local MRT Bugis station made for extremely efficient travel options as well  Myself and my colleagues enjoyed our long stay in the area  Thank you to the local staff for the welcoming atmosphere,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1001,0,Low,-724.5,couples,Clean,10,18
g294265-d299199,InterContinental Singapore,17.0,3102.0,5,2016-04-06,My husband and I love visiting the Intercon in Singapore  The lounge is excellent and the rooms are spacious and comfortable  Check in is a breeze and uncle Peter is always there to carry our bags and greet us with a smile,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1002,0,Low,-724.5,couples,Clean,8,10
g294265-d299199,InterContinental Singapore,17.0,3102.0,5,2016-04-03,Great buffet breakfast  spacious room and beautiful layout  Service was good and location was perfect  only the swimming pool area was a little small  The room on the other hand was spacious  the bed was large and comfortable  Would come here again for stay cation definitely,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1003,0,Low,-724.5,couples,Clean,10,15
g294265-d299199,InterContinental Singapore,17.0,3102.0,5,2016-04-03,This is my 3rd stay at the InterContinental and have been exceedingly happy Presentation is fabulous  Food is superb and location is second to none  This time my wife and 5 year old daughter stayed with me and they loved the pool facilities,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1004,0,Low,-724.5,couples,Clean,10,19
g294265-d299199,InterContinental Singapore,17.0,3102.0,5,2016-03-30,Great staff   great time with good selection of food and winesLocated close to metro and in the bugis shopping centerWe had a suite and it was relly good for my family alsoDedicated lounge for family is ok so my young son had fine,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1005,0,Low,-724.5,couples,Clean,7,17
g294265-d299199,InterContinental Singapore,17.0,3102.0,5,2016-03-29,The hotel has just completed an entire renovation and it looks bright  fresh and clean  The rooms are refurbished modern and the layout is very practical I liked the location   walking distance to great shopping centers  etc The InterContinental Club Lounge offers a good selection of breakfast  afternoon teas  drinks during Happy Hour and a wide range of snacks,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1006,0,Low,-724.5,couples,Clean,8,12
g294265-d299199,InterContinental Singapore,17.0,3102.0,5,2016-01-26,Excellent hotel  large rooms  great service  awesome food  Right next to Bugis Market  in fact  a side door opens directly into Bugis Junction  Stayed here twice on family holidays and absolutely loved it  And the breakfast buffet was consistently excellent,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1007,0,Low,-724.5,couples,Clean,8,18
g294265-d299199,InterContinental Singapore,17.0,3102.0,5,2016-01-24,Awesome hotel in a great location  close to bugis MRT station  Stayed in a newly reburbished room on a high floor  and wasn  39 t disappointed  Rooms are spacious  bright and very well finished  Huge tv with a wide choice of HD channels in various languages  Great breakfast spread and service  Overall a great stay,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1008,0,Low,-724.5,couples,Clean,8,11
g294265-d299199,InterContinental Singapore,17.0,3102.0,4,2014-02-24,As good as you can expected  Not matching the Raffles but close  Good value for business stay  Convenient to access the Financial District with the new MRT line and with local shopping experience but not crowded at vicinity,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1009,0,Low,-724.5,couples,Clean,10,15
g294265-d299199,InterContinental Singapore,17.0,3102.0,4,2014-02-23,Great location for shopping sightseeing and eating out  Great concierge  Very friendly helpful front desk  Spacious rooms with well appointed bathrooms   7th floor wasnice and quiet   Small pool but useful for late afternoon swim  Apart from a small problem with daily papers   everything else was very good  Bugis shopping mall three minutes walk,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1010,1,Low,-724.5,couples,Dirty,9,56
g294265-d299199,InterContinental Singapore,17.0,3102.0,5,2014-01-28,Delicious food in restaurant  friendly staff  and great accessibility from other places  If i have any chance to visit singapore again  i would stay in this hotel  I strongly recommand anyone visiting singapore stay in the intercontinental hotel,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1011,0,Low,-724.5,couples,Clean,8,16
g294265-d299199,InterContinental Singapore,17.0,3102.0,5,2014-01-23,Located at the heart of Singapore  it was such a amzing place to be  The interior of the hotel was exquisite as well as comfortable and convenient  Not to mention the friendly staff who were very helpful  I would stay at this hotel at my next visit for sure,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1012,0,Low,-724.5,couples,Clean,11,12
g294265-d299199,InterContinental Singapore,17.0,3102.0,5,2014-01-19,Great location  outstanding staff  In fact nothing wrong at all  It is an older hotel  so classic rather than contemporary  We had a holiday with our 3 kids for 1 week and could find nothing to complain about at all  We stayed 8th floor junior suite plus 1 room  Breakfasts worth having too,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1013,0,Low,-724.5,couples,Clean,10,16
g294265-d299199,InterContinental Singapore,17.0,3102.0,5,2014-01-17,The hotel is located in the Bugis precinct and close to Orchard RoadThe personalised check in was very well done and it was such a relief to go straight to our room after a long flight from India and sleep until lunch timeThe Concierge are very knowledgeable  and have guided us to the right places Recommended,1615.0,712.0,189.0,62.0,21.0,539.0,864.0,198.0,738.0,152.0,1014,0,Low,-724.5,couples,Clean,7,13
