room_id,hotel_name,priority,checkout_hour,assigned_staff,task_status,estimated_finish_hour
1784,PARKROYAL on Kitchener Road,High,6,Alice,Pending,7
3384,InterContinental Singapore,High,6,Bob,Pending,7
4879,InterContinental Singapore,High,6,Charlie,Pending,7
4899,InterContinental Singapore,High,6,David,Pending,7
4973,InterContinental Singapore,High,6,Emma,Pending,7
5038,Hotel Jen Tanglin Singapore,High,6,Frank,Pending,7
5345,PARKROYAL on Kitchener Road,High,6,Grace,Pending,7
5375,PARKROYAL on Kitchener Road,High,6,Henry,Pending,7
5775,PARKROYAL on Kitchener Road,High,6,Ivy,Pending,7
5825,PARKROYAL on Kitchener Road,High,6,Jack,Pending,7
5968,PARKROYAL on Kitchener Road,High,6,Alice,Pending,7
5972,PARKROYAL on Kitchener Road,High,6,Bob,Pending,7
5994,PARKROYAL on Kitchener Road,High,6,Charlie,Pending,7
6045,PARKROYAL on Kitchener Road,High,6,David,Pending,7
6450,Ramada Singapore At Zhongshan Park,High,6,Emma,Pending,7
6517,Ramada Singapore At Zhongshan Park,High,6,Frank,Pending,7
6543,Ramada Singapore At Zhongshan Park,High,6,Grace,Pending,7
6569,Ramada Singapore At Zhongshan Park,High,6,Henry,Pending,7
6601,Ramada Singapore At Zhongshan Park,High,6,Ivy,Pending,7
6785,Ramada Singapore At Zhongshan Park,High,6,Jack,Pending,7
6988,The St. Regis Singapore,High,6,Alice,Pending,7
2804,Sunway Resort Hotel Spa,High,7,Bob,Pending,8
3355,InterContinental Singapore,High,7,Charlie,Pending,8
3546,InterContinental Singapore,High,7,David,Pending,8
4217,InterContinental Singapore,High,7,Emma,Pending,8
4880,InterContinental Singapore,High,7,Frank,Pending,8
5261,PARKROYAL on Kitchener Road,High,7,Grace,Pending,8
5338,PARKROYAL on Kitchener Road,High,7,Henry,Pending,8
5674,PARKROYAL on Kitchener Road,High,7,Ivy,Pending,8
5702,PARKROYAL on Kitchener Road,High,7,Jack,Pending,8
5729,PARKROYAL on Kitchener Road,High,7,Alice,Pending,8
5931,PARKROYAL on Kitchener Road,High,7,Bob,Pending,8
6009,PARKROYAL on Kitchener Road,High,7,Charlie,Pending,8
6097,PARKROYAL on Kitchener Road,High,7,David,Pending,8
6193,PARKROYAL on Kitchener Road,High,7,Emma,Pending,8
1633,PARKROYAL on Kitchener Road,High,8,Frank,Pending,9
4010,InterContinental Singapore,High,8,Grace,Pending,9
4218,InterContinental Singapore,High,8,Henry,Pending,9
4332,InterContinental Singapore,High,8,Ivy,Pending,9
4433,InterContinental Singapore,High,8,Jack,Pending,9
4875,InterContinental Singapore,High,8,Alice,Pending,9
4907,InterContinental Singapore,High,8,Bob,Pending,9
5388,PARKROYAL on Kitchener Road,High,8,Charlie,Pending,9
5647,PARKROYAL on Kitchener Road,High,8,David,Pending,9
5663,PARKROYAL on Kitchener Road,High,8,Emma,Pending,9
6059,PARKROYAL on Kitchener Road,High,8,Frank,Pending,9
